si no,LATITUDE,LONGITUDE,District,Elevation,Slope,Rainfall,MinTemp,MaxTemp,Humidity,NDVI,B,Ca,Cu,EC,Fe,K,Mg,Mn,N,Org_C,P,S,Zn,pH
1,11.71100998,75.603318,Kannur,26,4.210955,10.48857546,21.93108494,30.75358208,73.1514314,0.6526698,0.99000001,530,9.479999542,0.04,32.29999924,160.5,125,35.40999985,862,1.00999999,59.70000076,1.889999986,2.089999914,4.920000076
2,11.97022915,75.410628,Kannur,38,4.729763,10.2893616,22.32439417,32.13279351,65.84348166,0.5153102,0.07,120,2.349999905,0.04,33.40000153,129.6999969,156,67.97000122,596,0.819999993,2.650000095,23.32999992,3.920000076,5.840000153
3,12.08323956,75.55560303,Kannur,41,5.4245934,21.98980677,19.17601061,31.48734252,64.2642136,0.6452676,0.180000007,489,7.185800076,0.04,45.58528137,354.25,99.62819672,28.99500084,712,1.019999981,59.25799942,31.21500015,6.349999905,5.820000172
4,12.02010822,75.667724,Kannur,61,6.5328655,17.3895148,20.09892583,33.19815821,62.46473311,0.5706879,0.200000003,314,6.874169827,0.04,45.25279999,156.3999939,121.2200012,51.22000122,225.5,1.350000024,66.90000153,44.25500107,5.98584795,5.25
5,11.97626591,75.411696,Kannur,56,4.7226605,10.2893616,22.32439417,32.13279351,65.84348166,0.5451631,0.071999997,110,4.099999905,0.05,32.31999969,135.5,125,68.91999817,148,0.899999976,4.800000191,23.95949936,4.199999809,5.900000095
6,12.161479,75.487299,Kannur,81,4.8223157,43.38611984,18.63982465,30.2886402,66.84288069,0.77587986,0.949999988,358,5.669499874,0.05,65.52851868,120.4199982,99.94999695,58.54999924,326.3999939,1.559999943,115.4599991,35.89599991,6.119999886,4.800000191
7,12.16753197,75.223203,Kannur,21,3.8236818,3.791483879,23.45392288,30.41379305,69.43064263,0.5513006,0.079999998,289,5.989999771,0.05,75.87999725,230.5,96.62999725,45.33000183,266,0.5,2.200000048,17.60000038,5.25,5.400000095
8,12.02468109,75.66652679,Kannur,75,2.98955,17.3895148,20.09892583,33.19815821,62.46473311,0.38049588,0.090000004,257,6.954500198,0.05,28.52852058,389.6520081,104.2200012,34.58280182,648,2.130000114,21.52000046,35.65219879,6.519999981,6.010000229
9,11.94890308,75.519086,Kannur,106,5.743993,16.04581845,21.70774494,31.9706402,66.38667776,0.36811963,0.109999999,396.4299927,5.480000019,0.05,42.27999878,91.26000214,98.47000122,31.55999947,528,3.670000076,51.22999954,28.95999908,4.199999809,4.900000095
10,12.0697279,75.576878,Kannur,49,8.668593,21.98980677,19.17601061,31.48734252,64.2642136,0.6549215,0.150000006,356,7.248000145,0.05,18.20000076,91.25,95.68990326,31.55200005,658,1.350000024,69.08000183,84.35559845,7.1052828,5.849999905
11,11.90356922,75.787099,Kannur,86,12.433681,22.35626948,18.77281736,30.95730296,63.47575061,0.7518388,0.090999998,220,4.190000057,0.06,29,204.9600067,108,24.89900017,212,0.911764706,22.57999992,28.95899963,1.570000052,5.650000095
